Step 1: Action: [0.], Reward: 0.966666717948718
Step 2: Action: [0.51982796], Reward: -1
Step 3: Action: [0.], Reward: 0.9759025641025642
Step 4: Action: [0.51864237], Reward: -1
Step 5: Action: [0.], Reward: 0.9918461538461538
Step 6: Action: [0.], Reward: 0.9641538461538461
Step 7: Action: [0.], Reward: 0.9333333333333333
Step 8: Action: [0.], Reward: 0.9641538461538461
Step 9: Action: [0.], Reward: 0.9918461538461538
Step 10: Action: [0.], Reward: 0.9794871794871794
Step 11: Action: [0.], Reward: 0.9282051282051282
Step 12: Action: [0.], Reward: 0.9879897435897436
Step 13: Action: [0.5192252], Reward: -1
Step 14: Action: [0.], Reward: 0.9776923076923076
Step 15: Action: [0.], Reward: 0.9833334358974359
Step 16: Action: [0.], Reward: 0.9735897435897436
Step 17: Action: [0.], Reward: 0.9772307692307692
Step 18: Action: [0.5197153], Reward: -1
Step 19: Action: [0.], Reward: 0.7182051282051283
Step 20: Action: [0.], Reward: 0.9876974358974359
Step 21: Action: [0.5192244], Reward: -1
Step 22: Action: [0.], Reward: 0.8974359487179487
Step 23: Action: [0.], Reward: 0.9810769230769231
Step 24: Action: [0.], Reward: 0.9230769743589744
Step 25: Action: [0.5176457], Reward: -1
Step 26: Action: [0.], Reward: 0.9812820512820513
Step 27: Action: [0.], Reward: 0.985897435897436
Step 28: Action: [0.51944387], Reward: -1
Step 29: Action: [0.], Reward: 0.9643589743589743
Step 30: Action: [0.], Reward: 0.985902564102564
Step 31: Action: [0.], Reward: 0.9841025641025641
Step 32: Action: [0.5190302], Reward: -1
Step 33: Action: [0.5202448], Reward: -1
Step 34: Action: [0.], Reward: 0.9841025641025641
Step 35: Action: [0.], Reward: 0.9805133333333333
Step 36: Action: [0.5177631], Reward: -1
Step 37: Action: [0.], Reward: 0.9830769230769231
Step 38: Action: [0.], Reward: 0.959025641025641
Step 39: Action: [0.], Reward: 0.8566666666666667
Step 40: Action: [0.], Reward: 0.9682051282051282
Step 41: Action: [0.], Reward: 0.9292307692307692
Step 42: Action: [0.5179439], Reward: -1
Step 43: Action: [0.], Reward: 0.948974358974359
Step 44: Action: [0.5193826], Reward: 0.2677125013791595
Step 45: Action: [0.], Reward: 0.9833333333333334
Step 46: Action: [0.], Reward: -1
Step 47: Action: [0.], Reward: 0.9845133333333334
Step 48: Action: [0.51883197], Reward: -1
Step 49: Action: [0.], Reward: 0.95
Step 50: Action: [0.], Reward: 0.9564102564102565
Step 51: Action: [0.5189567], Reward: -1
Step 52: Action: [0.5174333], Reward: -1
Step 53: Action: [0.], Reward: 0.6153846153846154
Step 54: Action: [0.5174342], Reward: -1
Step 55: Action: [0.], Reward: 0.9692358974358974
Step 56: Action: [0.], Reward: 0.9810769230769231
Step 57: Action: [0.], Reward: 0.9028205128205128
Step 58: Action: [0.], Reward: 0.8897435897435898
Step 59: Action: [0.], Reward: 0.9308205128205128
Step 60: Action: [0.], Reward: -1
Step 61: Action: [0.], Reward: 0.6925641025641025
Step 62: Action: [0.5192079], Reward: -1
Step 63: Action: [0.51921463], Reward: -1
Step 64: Action: [0.5200304], Reward: -1
Step 65: Action: [0.51873], Reward: -1
Step 66: Action: [0.], Reward: 0.9594872307692308
Step 67: Action: [0.], Reward: 0.9823078974358974
Step 68: Action: [0.], Reward: -1
Step 69: Action: [0.], Reward: 0.982051282051282
Step 70: Action: [0.51980656], Reward: -1
Step 71: Action: [0.5184049], Reward: -1
Step 72: Action: [0.], Reward: 0.9833333333333334
Step 73: Action: [0.], Reward: 0.9615389743589744
Step 74: Action: [0.518029], Reward: -1
Step 75: Action: [0.], Reward: 0.9744615384615385
Step 76: Action: [0.], Reward: 0.9569230769230769
Step 77: Action: [0.5183425], Reward: -1
Step 78: Action: [0.], Reward: 0.9802564102564103
Step 79: Action: [0.5202418], Reward: -1
Step 80: Action: [0.], Reward: 0.9653846153846154
Step 81: Action: [0.5190079], Reward: -1
Step 82: Action: [0.], Reward: 0.9641025641025641
Step 83: Action: [0.], Reward: 0.9038461538461539
Step 84: Action: [0.520124], Reward: -1
Step 85: Action: [0.], Reward: 0.2564102564102565
Step 86: Action: [0.], Reward: 0.9797435897435898
Step 87: Action: [0.], Reward: 0.9756410256410256
Step 88: Action: [0.], Reward: 0.9076923076923077
Step 89: Action: [0.], Reward: 0.8525641025641026
Step 90: Action: [0.], Reward: 0.9851333333333333
Step 91: Action: [0.], Reward: 0.9748769230769231
Step 92: Action: [0.], Reward: 0.9641025641025641
Step 93: Action: [0.], Reward: 0.9712820512820513
Step 94: Action: [0.], Reward: 0.982051282051282
Step 95: Action: [0.], Reward: 0.9487692307692308
Step 96: Action: [0.], Reward: 0.9742102564102564
Step 97: Action: [0.], Reward: 0.9797435897435898
Step 98: Action: [0.51862735], Reward: -1
Step 99: Action: [0.], Reward: 0.9815897435897436
Step 100: Action: [0.], Reward: 0.9725692307692307
Step 101: Action: [0.], Reward: 0.9512820512820512
Step 102: Action: [0.], Reward: 0.9759025641025642
Step 103: Action: [0.], Reward: 0.9487179487179487
Step 104: Action: [0.], Reward: 0.8076923076923077
Step 105: Action: [0.], Reward: 0.964103076923077
Step 106: Action: [0.], Reward: 0.958974358974359
Step 107: Action: [0.], Reward: 0.9582051282051283
Step 108: Action: [0.], Reward: 0.9708205128205128
Step 109: Action: [0.5191149], Reward: -1
Step 110: Action: [0.], Reward: 0.9607692307692308
Step 111: Action: [0.], Reward: 0.9756410256410256
Step 112: Action: [0.], Reward: 0.9756410256410256
Step 113: Action: [0.51926255], Reward: -1
Step 114: Action: [0.], Reward: 0.9692820512820512
Step 115: Action: [0.], Reward: 0.9692820512820512
Step 116: Action: [0.5192753], Reward: -1
Step 117: Action: [0.], Reward: 0.5769230769230769
Step 118: Action: [0.], Reward: 0.9385128205128205
Step 119: Action: [0.], Reward: 0.9141025641025641
Step 120: Action: [0.], Reward: 0.9595384615384616
Step 121: Action: [0.], Reward: 0.9554358974358974
Step 122: Action: [0.5187559], Reward: -1
